date,state,istrict,median_inc,%_bach_degree,clinton_over_BO,18_over_lean
11/7/17,Virginia,HD-21,76270.00,0.32,-0.01,0.03
11/7/17,Virginia,HD-56,80327.00,0.42,0.06,0.03
11/7/17,New Jersey,SD-35,42153.00,0.16,-0.10,0.03
11/7/17,Virginia,HD-31,116586.00,0.40,0.03,0.03
11/7/17,New Jersey,SD-14,78731.00,0.41,-0.04,0.03
11/7/17,Utah,3rd CD,66478.00,0.39,0.35,0.03
11/7/17,Maine,HD-56,54207.00,0.17,-0.25,0.03
11/7/17,Virginia,HD-55,74997.00,0.31,-0.02,0.03
11/7/17,Virginia,HD-10,109942.00,0.51,0.10,0.03
11/7/17,Virginia,HD-32,125263.00,0.64,0.15,0.03
11/7/17,Virginia,HD-84,72439.00,0.30,-0.04,0.02
11/7/17,Virginia,HD-26,44910.00,0.31,0.04,0.02
11/7/17,Virginia,HD-08,57077.00,0.32,-0.04,0.02
11/7/17,Virginia,HD-09,41015.00,0.17,-0.15,0.02
11/7/17,New Jersey,SD-11,69007.00,0.37,-0.04,0.02
11/7/17,New York,SD-26,76767.00,0.57,0.08,0.02
11/7/17,Georgia,SD-39,46328.00,0.43,0.05,0.02
11/7/17,New Jersey,Governor,73702.00,0.38,-0.04,0.02
11/7/17,New Jersey,SD-12,92738.00,0.37,-0.11,0.02
11/7/17,New Jersey,SD-15,69704.00,0.40,0.03,0.02
11/7/17,New Jersey,SD-39,112306.00,0.53,0.05,0.01
11/7/17,Virginia,HD-73,60308.00,0.43,0.14,0.01
11/7/17,Virginia,HD-51,111208.00,0.46,0.05,0.01
11/7/17,Virginia,HD-96,77882.00,0.44,0.05,0.01
11/7/17,Virginia,HD-65,81509.00,0.41,0.04,0.01
11/7/17,Virginia,HD-82,68442.00,0.45,0.03,0.01
11/7/17,Virginia,HD-91,69874.00,0.37,0.00,0.01
11/7/17,New Jersey,SD-17,78064.00,0.44,-0.01,0.01
11/7/17,Virginia,HD-23,51544.00,0.37,0.01,0.01
11/7/17,Virginia,HD-59,50804.00,0.21,-0.09,0.00
11/7/17,Virginia,HD-88,83642.00,0.36,-0.02,0.00
11/7/17,New Jersey,SD-25,103290.00,0.52,0.09,0.00
11/7/17,Virginia,HD-29,61152.00,0.29,-0.07,0.00
11/7/17,Virginia,HD-30,61322.00,0.24,-0.11,0.00
11/7/17,Virginia,HD-98,57800.00,0.22,-0.10,0.00
11/7/17,Washington,"HD-07, Position 1",49503.00,0.22,-0.10,0.00
11/7/17,New Jersey,SD-26,102247.00,0.49,0.01,0.00
11/7/17,Virginia,HD-18,79868.00,0.31,-0.07,-0.01
11/7/17,Virginia,HD-66,75357.00,0.34,0.03,-0.01
11/7/17,Missouri,HD-23,20915.00,0.09,-0.07,-0.01
11/7/17,Virginia,HD-64,64885.00,0.25,-0.07,-0.01
11/7/17,Virginia,HD-50,90511.00,0.36,0.05,-0.02
11/7/17,New Jersey,SD-40,107455.00,0.52,0.05,-0.02
11/7/17,Virginia,HD-68,84020.00,0.63,0.22,-0.02
11/7/17,Washington,SD-07,49503.00,0.22,-0.10,-0.02
11/7/17,Virginia,HD-07,50962.00,0.25,-0.09,-0.02
11/7/17,New Jersey,SD-09,64135.00,0.26,-0.17,-0.02
11/7/17,Virginia,HD-97,75115.00,0.30,0.00,-0.03
11/7/17,Michigan,HD-01,41708.00,0.25,-0.01,-0.03
11/7/17,Virginia,HD-94,61099.00,0.32,0.00,-0.03
11/7/17,Virginia,HD-13,86591.00,0.38,0.04,-0.04
11/7/17,Virginia,HD-54,82300.00,0.31,-0.04,-0.04
11/7/17,New Jersey,SD-23,90110.00,0.43,0.00,-0.04
11/7/17,Virginia,HD-67,132382.00,0.66,0.18,-0.04
11/7/17,Virginia,HD-83,63501.00,0.35,-0.01,-0.04
11/7/17,Virginia,HD-58,66793.00,0.34,0.01,-0.05
11/7/17,Virginia,HD-40,133910.00,0.62,0.15,-0.05
11/7/17,Washington,SD-31,74079.00,0.25,-0.06,-0.05
11/7/17,Virginia,HD-99,59420.00,0.26,-0.08,-0.05
11/7/17,New Jersey,SD-08,80151.00,0.36,-0.05,-0.06
11/7/17,Washington,"HD-31, Position 2",74079.00,0.25,-0.06,-0.06
11/7/17,Virginia,HD-100,41343.00,0.20,-0.08,-0.06
11/7/17,Massachusetts,3rd Essex HD,57139.00,0.25,-0.03,-0.07
11/7/17,Georgia,SD-06,67687.00,0.61,0.23,-0.09
11/7/17,Virginia,HD-60,38126.00,0.17,-0.10,-0.10
11/7/17,New Jersey,SD-16,110138.00,0.58,0.07,-0.11
11/7/17,New Jersey,SD-21,120556.00,0.61,0.15,-0.13
11/7/17,New Jersey,SD-02,53312.00,0.26,-0.09,-0.18
11/7/17,Washington,SD-45,114762.00,0.62,0.18,-0.19
11/7/17,Georgia,HD-04,37945.00,0.14,0.04,-0.37
10/24/17,New Hampshire,Strafford HD-13,51139.00,0.47,0.01,0.26
10/17/17,Massachusetts,Bristol & Norfolk SD,93175.00,0.47,0.09,-0.03
9/26/17,South Carolina,HD-31,26265.00,0.12,-0.11,0.34
9/26/17,New Hampshire,Rockingham HD-04,104216.00,0.36,-0.02,0.27
9/26/17,Florida,SD-40,56773.00,0.31,0.08,-0.10
9/26/17,Florida,HD-116,50344.00,0.33,0.15,-0.30
9/12/17,Oklahoma,HD-46,61346.00,0.45,0.09,0.36
9/12/17,New Hampshire,Belknap HD-09,N/A,N/A,-0.17,0.26
9/5/17,New Hampshire,Grafton HD-09,51188.00,0.25,-0.17,0.09
8/22/17,Rhode Island,SD-13,70110.00,0.54,0.04,-0.07
8/8/17,Iowa,HD-82,46740.00,0.25,-0.23,0.27
8/8/17,Missouri,HD-50,63174.00,0.43,0.02,0.20
8/8/17,Missouri,SD-28,38210.00,0.15,-0.19,0.18
7/25/17,New Hampshire,SD-16,74821.00,0.41,0.01,0.13
7/18/17,New Hampshire,Merrimack HD-18,36818.00,0.29,-0.02,0.36
7/11/17,Oklahoma,SD-44,41433.00,0.14,0.03,0.31
7/11/17,Oklahoma,HD-75,49132.00,0.24,0.05,0.30
6/20/17,South Carolina,5th CD,46062.00,0.22,-0.07,0.16
6/20/17,South Carolina,HD-70,38535.00,0.18,-0.06,0.14
6/20/17,South Carolina,HD-48,66923.00,0.42,0.03,0.06
6/20/17,Georgia,6th CD,82390.00,0.59,0.22,0.06
6/15/17,Tennessee,HD-95,116023.00,0.59,0.13,0.18
5/30/17,South Carolina,HD-84,42572.00,0.15,-0.05,0.15
